SliceEntropy	CloudEntropy
1.54959	2.06928
2.15031	2.06268
1.87174	2.09131
2.15263	2.17732
1.82545	2.40721
1.73469	2.12903
1.74505	2.3681
2.24386	2.06863
1.81135	2.03174
2.14604	2.04151
1.66337	2.23662
2.01623	2.03249
2.0783	1.9378
1.51662	2.08386
1.95741	2.09224
1.32092	2.08721
1.87126	1.86682
1.57135	1.5143
2.39327	1.7583
2.06204	2.09623
1.6219	1.84229
1.88943	2.43908
2.20735	1.95526
2.09791	2.22771
1.90604	1.98464
2.28643	2.31031
2.40229	2.42282
2.03249	1.95693
1.96903	1.54132
2.08721	1.77357
2.12903	2.37302
2.01732	2.19741
1.69288	1.94682
1.56903	2.22631
1.57545	1.9983
2.12307	2.14268
2.09791	2.22631
2.13469	1.79086
1.86682	1.54959
2.48154	2.12307
1.63485	2.11174
2.12307	2.19741
1.79352	1.9378
1.82904	2.07171
1.9378	2.17947
1.75662	2.25288
2.13469	2.11741
1.9983	1.93056
2.01623	1.84229
1.73469	1.9983
2.05869	1.93056
2.09224	2.11294
1.88092	2.09548
2.09288	1.95508
2.03249	2.07031
1.8107	1.93056
1.8578	1.9983
2.03249	2.01623
1.79249	2.14268
1.69288	2.10347
1.77288	1.8907
1.26112	2.01131
1.90268	1.91327
2.22863	2.31031
2.1819	2.19741
1.99112	1.71526
1.59933	2.07662
1.89151	1.85391
1.9943	1.69288
2.30372	1.8907
1.8578	1.76386
1.92154	1.9983
1.90505	1.89151
2.05869	2.11294
2.1845	1.82904
1.59963	2.22696
1.58268	1.85391
1.98464	2.10132
1.91327	1.81712
2.13469	2.08721
1.91327	1.77288
2.01883	2.01883
2.06268	2.21469
2.01623	1.95693
1.8881	1.87444
2.32489	2.01623
1.90268	2.37302
2.10953	1.74297
2.20735	2.06464
2.07031	2.01565
2.08721	2.11741
2.34682	1.86682
1.47174	2.20568
1.49366	2.17947
1.82053	2.02347
1.68154	2.06863
2.3681	2.19908
2.17391	2.17224
1.56943	1.55352
2.17883	2.1045
1.99112	1.84154
2.02132	1.7583
2.01391	2.14268
2.32888	2.19612
1.8907	2.20643
1.77391	1.9943
1.9419	2.02347
1.15855	2.23662
1.87444	2.20903
1.88092	2.38464
1.8907	1.90372
2.04903	1.59171
1.81712	2.11341
1.74505	2.12411
1.82545	2.14771
1.24151	2.22771
2.13366	2.17947
2.39327	1.89151
1.74297	2.24154
1.71294	1.82863
1.88943	2.25623
1.56903	2.05869
1.91031	2.14713
1.79126	1.84489
1.70115	1.77924
1.98696	1.74297
2.06631	2.22631
1.72735	2.43908
1.85524	2.34682
1.73469	1.56903
1.70953	2.08721
1.91031	2.12643
1.84229	1.87126
2.12307	2.09623
1.74505	1.95526
1.98464	1.9983
2.11341	2.32888
2.13469	1.75662
1.63485	2.17224
1.98464	2.12643
2.12643	2.10953
2.38268	2.26115
1.70953	1.93056
1.90053	2.21869
1.38347	1.80411
1.69288	2.04903
2.11741	1.92229
2.19249	2.17947
1.93947	1.81701
2.11341	2.06204
2.09791	2.17224
1.84673	2.03294
2.2081	1.66337
1.98268	1.93056
2.17947	2.12307
1.73469	2.06268
2.16322	2.01732
1.69924	2.2343
1.84229	2.19908
1.95352	1.73701
2.14863	1.8907
2.24229	2.19249
2.12643	2.15031
1.56943	2.14863
1.82863	1.9983
1.74505	2.09548
2.11341	2.18115
1.73469	2.06928
1.95741	2.23662
1.53548	1.88411
1.88411	2.22268
1.77288	1.95693
1.81869	1.87126
1.77288	2.4178
1.57135	2.03174
1.71034	2.03693
1.99112	1.93224
1.61357	2.24322
1.33972	2.12568
2.07171	2.10347
2.3183	1.90372
1.49366	2.01623
1.63294	2.20643
1.93947	1.84673
1.80092	2.27249
1.89151	2.28903
1.66337	1.90863
2.03249	2.12643
2.00489	2.20903
1.85056	2.14268
2.19741	2.16489
2.27508	2.32888
1.98464	2.00274
1.84171	2.10132
1.90863	1.75662
1.90268	2.10132
2.12307	2.14771
1.75662	2.01623
2.01924	2.33716
1.5143	2.1845
1.55352	2.20643
1.84489	1.94849
1.67534	2.35908
1.57545	2.08721
2.08721	2.08229
2.10953	2.08489
2.01732	1.82545
1.19748	1.90372
1.8907	2.10132
1.99112	2.01623
2.08229	2.15031
1.77288	2.03249
1.70953	1.93391
1.87444	2.36307
2.11508	2.39327
1.73469	1.90268
1.70953	2.18115
1.18297	2.32888
1.77924	2.16322
1.84154	2.08386
1.97469	1.84489
1.67263	2.11174
1.7019	2.21469
1.47885	1.90372
2.09548	2.12903
1.95508	1.8907
2.11341	1.90904
1.91031	2.14771
2.19908	2.16322
2.2605	2.08721
2.5845	1.88735
2.01391	1.82904
2.11341	2.24322
1.9983	2.04011
1.54132	2.10347
2.50282	2.06204
2.11612	2.09791
1.85357	1.82904
1.93224	1.93565
2.27908	2.10132
1.56568	1.79034
1.73469	2.04092
1.82053	1.56514
1.96903	2.17224
1.85056	1.81712
1.92229	2.00171
1.94849	2.1819
2.01391	1.95508
2.24322	1.75662
2.24154	2.09623
1.73701	2.29701
2.24229	2.08721
1.91327	2.23662
1.95741	2.02347
2.13469	2.2605
1.85391	2.07031
2.33791	1.88092
1.85056	1.87444
2.16229	2.06863
2.14771	1.63485
2.07031	2.02132
1.8107	2.09791
1.98464	2.39662
2.53869	1.8907
1.73135	1.9943
1.90268	2.34682
2.13469	1.85391
1.9983	2.25791
1.8578	1.98545
1.15855	1.75662
1.77357	1.75662
1.57972	2.32888
1.48914	2.24322
1.69288	2.03174
2.01623	1.92229
1.71885	2.06204
1.80307	2.19908
1.95508	2.32888
1.8383	2.12643
2.2343	1.93056
2.03249	2.01623
2.12092	1.87126
1.76171	2.15031
2.08721	2.1819
1.8107	2.03693
1.71526	1.8907
1.84229	2.06268
1.71612	2.28735
2.25791	1.66337
1.63485	2.24322
1.56903	2.21869
2.01623	1.98112
1.8907	1.79034
1.9419	2.19741
1.99112	2.23327
1.96151	1.85391
1.76171	1.87294
1.95741	2.17288
1.37056	2.09224
1.80411	2.23662
1.79126	2.15327
1.95693	2.30372
2.01924	2.15031
1.15855	2.24386
1.51366	2.37469
2.11508	1.93056
1.67263	2.2921
1.95508	2.06464
1.9419	2.26347
1.80307	2.48489
2.07031	1.75662
1.69732	2.06545
1.70953	1.8907
2.3183	2.32888
1.66631	1.9983
2.07171	2.10132
2.1045	1.95508
2.11508	2.13469
1.88092	1.95352
1.81712	2.20735
2.1845	1.90863
1.79174	2.01623
0.904381	1.79086
2.19352	2.09224
1.17712	2.11741
2.03693	2.13469
2.2921	2.23662
1.85131	2.1778
1.35419	2.09548
1.71526	2.03174
1.90604	2.03174
2.1819	2.15031
1.8578	1.84154
2.1819	1.74337
2.17732	1.74297
2.00489	1.8907
1.93947	2.23662
2.1778	1.93056
1.82904	2.01623
1.99963	1.95508
2.1045	2.13135
1.40411	2.06268
1.7019	1.93565
1.73469	2.24229
1.95741	2.1845
1.93224	2.03249
2.06268	1.98464
2.1045	2.02347
1.93947	1.87444
2.11341	2.27341
1.57366	1.96151
2.1307	2.01391
2.1778	1.90372
2.14713	2.26282
2.01391	2.16322
2.03693	2.28568
2.13469	2.29869
2.2907	1.8383
2.06545	2.11341
1.9419	2.09947
2.43341	2.35908
1.66053	2.02347
2.42282	1.98464
