Field A	Field B	Common genes	Min Overlap	Max Overlap
PromoterFields:C	ReplicationTimingFields:E	93	0.5195530726256983	0.775
PromoterFields:E	ReplicationTimingFields:D	104	0.6011560693641619	0.6341463414634146
PromoterFields:A	ContinentFields:Laurasia	62	0.02736098852603707	1.0
PromoterFields:B	ContinentFields:Laurasia	116	0.05119152691968226	0.9747899159663865
PromoterFields:C	ContinentFields:Godwana	120	0.11695906432748537	1.0
PromoterFields:D	ContinentFields:Godwana	160	0.15594541910331383	1.0
PromoterFields:E	ContinentFields:Tethys	98	0.035163257983494796	0.5664739884393064
PromoterFields:F	ContinentFields:Laurasia	192	0.08473080317740513	0.8888888888888888
PromoterFields:G	ContinentFields:Godwana	218	0.2124756335282651	0.9646017699115044
MotifFields:A	ReplicationTimingFields:C	57	0.4634146341463415	1.0
MotifFields:A	ContinentFields:Tethys	55	0.019734481521349122	0.9649122807017544
MotifFields:B	ContinentFields:Laurasia	82	0.03618711385701677	0.8541666666666666
MotifFields:C	ContinentFields:Tethys	76	0.02726946537495515	0.7835051546391752
ReplicationTimingFields:A	ContinentFields:Laurasia	48	0.02118270079435128	0.5925925925925926
ReplicationTimingFields:B	ContinentFields:Tethys	89	0.031933979189092215	1.0
ReplicationTimingFields:C	ContinentFields:Tethys	84	0.030139935414424113	0.6829268292682927
ReplicationTimingFields:D	ContinentFields:Tethys	118	0.042339433082167206	0.7195121951219512
ReplicationTimingFields:E	ContinentFields:Godwana	117	0.11403508771929824	0.6536312849162011
