Gene	Field
YLR220W	A
YLR218C	A
YLR200W	A
YLR217W	A
YLR106C	A
YLR204W	A
YLR219W	A
YLR105C	A
YLR056W	A
YLR266C	A
YLR277C	A
YLR102C	A
YLR267W	A
YLR221C	A
YLR213C	A
YLR264W	A
YLR265C	A
YLR275W	A
YLR259C	A
YLR107W	A
YLR207W	A
YLR114C	A
YLR274W	A
YLR210W	A
YLR103C	A
YLR270W	A
YLR272C	A
YLR263W	A
YLR216C	A
YLR215C	A
YLR203C	A
YLR201C	A
YLR104W	A
YLR260W	A
YLR055C	A
YLR208W	A
YLR096W	A
YLR261C	A
YLR112W	A
YLR269C	A
YLR214W	A
YLR209C	A
YLR271W	A
YLR273C	A
YLR113W	A
YLR262C	A
YLR276C	A
YLR212C	A
YLR211C	A
YLR268W	A
YLR202C	A
YLR206W	A
YLR286C	A
YLR205C	A
YLR180W	B
YLR323C	B
YLR315W	B
YLR187W	B
YLR183C	B
YLR327C	B
YLR182W	B
YLR133W	B
YLR184W	B
YLR087C	B
YLR302C	B
YLR332W	B
YLR328W	B
YLR075W	B
YLR085C	B
YLR128W	B
YLR132C	B
YLR130C	B
YLR321C	B
YLR243W	B
YLR086W	B
YLR082C	B
YLR080W	B
YLR242C	B
YLR301W	B
YLR193C	B
YLR319C	B
YLR305C	B
YLR078C	B
YLR309C	B
YLR316C	B
YLR192C	B
YLR084C	B
YLR325C	B
YLR318W	B
YLR129W	B
YLR067C	B
YLR304C	B
YLR065C	B
YLR191W	B
YLR311C	B
YLR314C	B
YLR131C	B
YLR079W	B
YLR194C	B
YLR188W	B
YLR064W	B
YLR226W	B
YLR076C	B
YLR136C	B
YLR069C	B
YLR081W	B
YLR135W	B
YLR227C	B
YLR071C	B
YLR310C	B
YLR322W	B
YLR073C	B
YLR189C	B
YLR331C	B
YLR186W	B
YLR134W	B
YLR330W	B
YLR307W	B
YLR137W	B
YLR068W	B
YLR088W	B
YLR313C	B
YLR181C	B
YLR300W	B
YLR083C	B
YLR306W	B
YLR066W	B
YLR326W	B
YLR077W	B
YLR317W	B
YLR329W	B
YLR303W	B
YLR320W	B
YLR324W	B
YLR185W	B
YLR308W	B
YLR072W	B
YLR074C	B
YLR244C	B
YLR312C	B
YLR245C	B
YLR070C	B
YLR190W	B
YEL067C	C
YGR089W	C
YGL097W	C
YIL069C	C
YGL252C	C
YGL071W	C
YIL063C	C
YER121W	C
YGR092W	C
YGL126W	C
YGL125W	C
YER124C	C
YGL057C	C
YER081W	C
YGL164C	C
YIL169C	C
YGL127C	C
YGL068W	C
YIL115C	C
YGL064C	C
YIL152W	C
YGL062W	C
YIL166C	C
YLR008C	C
YIL061C	C
YER126C	C
YGL160W	C
YGL132W	C
YER094C	C
YIL107C	C
YGL055W	C
YIL164C	C
YIL113W	C
YIL082W	C
YIL139C	C
YER085C	C
YER092W	C
YER115C	C
YGR088W	C
YEL066W	C
YIL076W	C
YLR014C	C
YGL256W	C
YGL081W	C
YER055C	C
YGL121C	C
YIL101C	C
YIL102C	C
YGL074C	C
YLL002W	C
YIL100W	C
YIL086C	C
YIL079C	C
YGL079W	C
YGL065C	C
YGL134W	C
YIL099W	C
YGL136C	C
YIL165C	C
YGL078C	C
YGL172W	C
YGL166W	C
YEL065W	C
YIL064W	C
YLR023C	C
YER107C	C
YIL094C	C
YGL165C	C
YIL083C	C
YGL093W	C
YER125W	C
YLR001C	C
YGL073W	C
YER122C	C
YLR013W	C
YIL132C	C
YER111C	C
YGR090W	C
YIL148W	C
YGR081C	C
YGL130W	C
YER117W	C
YGL253W	C
YER086W	C
YIL088C	C
YER106W	C
YER088C	C
YIL124W	C
YGR091W	C
YIL140W	C
YGL080W	C
YIL110W	C
YLR022C	C
YER103W	C
YGL169W	C
YIL145C	C
YER082C	C
YLR004C	C
YLR010C	C
YEL064C	C
YIL062C	C
YLL005C	C
YIL072W	C
YIL131C	C
YGL209W	C
YIL087C	C
YGR087C	C
YIL074C	C
YGL161C	C
YGL094C	C
YGL257C	C
YIL120W	C
YER120W	C
YIL147C	C
YER101C	C
YIL153W	C
YIL129C	C
YER099C	C
YIL149C	C
YER093C	C
YLR011W	C
YER097W	C
YIL075C	C
YER079W	C
YIL109C	C
YGL170C	C
YER083C	C
YIL130W	C
YER091C	C
YGL059W	C
YGL123W	C
YLR012C	C
YER105C	C
YIL125W	C
YER078C	C
YIL119C	C
YER090W	C
YER119C	C
YER104W	C
YGL069C	C
YGL095C	C
YIL122W	C
YLR016C	C
YIL126W	C
YIL066C	C
YER113C	C
YER087W	C
YLR021W	C
YGL070C	C
YIL142W	C
YGL167C	C
YER123W	C
YLL007C	C
YGL210W	C
YER089C	C
YGR083C	C
YLL008W	C
YLR024C	C
YGL066W	C
YIL121W	C
YGL208W	C
YLR015W	C
YGL056C	C
YIL128W	C
YGL137W	C
YIL084C	C
YIL137C	C
YIL097W	C
YIL136W	C
YIL108W	C
YLR019W	C
YIL068C	C
YLL004W	C
YLR007W	C
YIL151C	C
YGR085C	C
YLR006C	C
YER102W	C
YGL255W	C
YLR002C	C
YIL104C	C
YGL159W	C
YIL117C	C
YGR093W	C
YER084W	C
YGL162W	C
YIL141W	C
YLL001W	C
YGL254W	C
YIL134W	C
YIL096C	C
YIL111W	C
YGL138C	C
YIL105C	C
YGL118C	C
YLR017W	C
YIL085C	C
YIL098C	C
YGR082W	C
YGL122C	C
YLR020C	C
YGL119W	C
YLL006W	C
YGL129C	C
YGL060W	C
YGL096W	C
YER116C	C
YLR005W	C
YGR086C	C
YIL070C	C
YER112W	C
YLL009C	C
YIL144W	C
YIL106W	C
YIL138C	C
YIL078W	C
YIL118W	C
YER098W	C
YER095W	C
YER080W	C
YIL150C	C
YIL116W	C
YIL071C	C
YIL065C	C
YGL072C	C
YGL124C	C
YGL077C	C
YER056C	C
YLR018C	C
YIL123W	C
YIL146C	C
YGL135W	C
YGL067W	C
YLR003C	C
YGL168W	C
YER110C	C
YIL067C	C
YIL135C	C
YGL061C	C
YER096W	C
YIL073C	C
YER118C	C
YER100W	C
YGR094W	C
YGL063W	C
YER054C	C
YIL112W	C
YIL095W	C
YGR084C	C
YIL114C	C
YIL127C	C
YGL171W	C
YGL076C	C
YGL120C	C
YIL143C	C
YLR009W	C
YIL077C	C
YGL211W	C
YIL133C	C
YGL258W	C
YIL103W	C
YGL128C	C
YGL131C	C
YGL075C	C
YGL058W	C
YGL163C	C
YGL054C	C
YLL003W	C
YER114C	C
YGL133W	C
YDR184C	D
YDR399W	D
YDR273W	D
YDR214W	D
YDR484W	D
YDR432W	D
YDR245W	D
YDR216W	D
YDR268W	D
YDR290W	D
YDR423C	D
YDR261C	D
YDR372C	D
YDR386W	D
YDR195W	D
YDR421W	D
YDR478W	D
YDR360W	D
YDR321W	D
YDR226W	D
YDR341C	D
YDR427W	D
YDR293C	D
YDR461W	D
YDR237W	D
YDR383C	D
YDR428C	D
YDR241W	D
YDR422C	D
YDR431W	D
YDR181C	D
YDR253C	D
YDR526C	D
YDR223W	D
YDR302W	D
YDR351W	D
YDR527W	D
YDR485C	D
YDR528W	D
YDR152W	D
YDR266C	D
YDR175C	D
YDR270W	D
YDR379W	D
YDR285W	D
YDR385W	D
YDR186C	D
YDR225W	D
YDR439W	D
YDR326C	D
YDR298C	D
YDR269C	D
YDR406W	D
YDR446W	D
YDR188W	D
YDR342C	D
YDR198C	D
YDR164C	D
YDR278C	D
YDR442W	D
YDR393W	D
YDR389W	D
YDR219C	D
YDR238C	D
YDR173C	D
YDR384C	D
YDR365C	D
YDR501W	D
YDR443C	D
YDR475C	D
YDR167W	D
YDR254W	D
YDR469W	D
YDR304C	D
YDR240C	D
YDR156W	D
YDR244W	D
YDR349C	D
YDR369C	D
YDR259C	D
YDR465C	D
YDR506C	D
YDR249C	D
YDR473C	D
YDR504C	D
YDR288W	D
YDR310C	D
YDR362C	D
YDR464W	D
YDR154C	D
YDR451C	D
YDR476C	D
YDR409W	D
YDR316W	D
YDR339C	D
YDR213W	D
YDR276C	D
YDR535C	D
YDR403W	D
YDR199W	D
YDR537C	D
YDR460W	D
YDR447C	D
YDR231C	D
YDR400W	D
YDR161W	D
YDR183W	D
YDR275W	D
YDR466W	D
YDR172W	D
YDR297W	D
YDR397C	D
YDR204W	D
YDR155C	D
YDR287W	D
YDR202C	D
YDR425W	D
YDR479C	D
YDR292C	D
YDR262W	D
YDR325W	D
YDR424C	D
YDR457W	D
YDR209C	D
YDR230W	D
YDR502C	D
YDR335W	D
YDR498C	D
YDR404C	D
YDR416W	D
YDR277C	D
YDR489W	D
YDR509W	D
YDR151C	D
YDR256C	D
YDR371W	D
YDR524C	D
YDR171W	D
YDR263C	D
YDR222W	D
YDR260C	D
YDR194C	D
YDR314C	D
YDR402C	D
YDR220C	D
YDR512C	D
YDR150W	D
YDR452W	D
YDR455C	D
YDR317W	D
YDR334W	D
YDR503C	D
YDR392W	D
YDR165W	D
YDR450W	D
YDR417C	D
YDR294C	D
YDR280W	D
YDR135C	D
YDR258C	D
YDR211W	D
YDR448W	D
YDR471W	D
YDR348C	D
YDR390C	D
YDR179C	D
YDR420W	D
YDR405W	D
YDR413C	D
YDR289C	D
YDR252W	D
YDR486C	D
YDR514C	D
YDR281C	D
YDR536W	D
YDR494W	D
YDR313C	D
YDR396W	D
YDR189W	D
YDR367W	D
YDR363W	D
YDR463W	D
YDR338C	D
YDR308C	D
YDR157W	D
YDR236C	D
YDR328C	D
YDR518W	D
YDR433W	D
YDR274C	D
YDR505C	D
YDR495C	D
YDR295C	D
YDR454C	D
YDR541C	D
YDR481C	D
YDR182W	D
YDR525W	D
YDR239C	D
YDR361C	D
YDR513W	D
YDR206W	D
YDR493W	D
YDR291W	D
YDR282C	D
YDR218C	D
YDR320C	D
YDR368W	D
YDR434W	D
YDR500C	D
YDR414C	D
YDR190C	D
YDR205W	D
YDR193W	D
YDR354W	D
YDR415C	D
YDR429C	D
YDR242W	D
YDR133C	D
YDR162C	D
YDR510W	D
YDR540C	D
YDR381W	D
YDR483W	D
YDR401W	D
YDR187C	D
YDR377W	D
YDR436W	D
YDR488C	D
YDR490C	D
YDR158W	D
YDR132C	D
YDR521W	D
YDR191W	D
YDR166C	D
YDR329C	D
YDR516C	D
YDR346C	D
YDR279W	D
YDR233C	D
YDR246W	D
YDR221W	D
YDR307W	D
YDR327W	D
YDR468C	D
YDR197W	D
YDR359C	D
YDR519W	D
YDR523C	D
YDR357C	D
YDR472W	D
YDR441C	D
YDR370C	D
YDR467C	D
YDR477W	D
YDR271C	D
YDR306C	D
YDR376W	D
YDR497C	D
YDR215C	D
YDR449C	D
YDR388W	D
YDR318W	D
YDR180W	D
YDR337W	D
YDR283C	D
YDR511W	D
YDR347W	D
YDR459C	D
YDR251W	D
YDR331W	D
YDR408C	D
YDR250C	D
YDR394W	D
YDR411C	D
YDR382W	D
YDR373W	D
YDR303C	D
YDR426C	D
YDR265W	D
YDR492W	D
YDR299W	D
YDR208W	D
YDR178W	D
YDR296W	D
YDR224C	D
YDR352W	D
YDR453C	D
YDR322W	D
YDR456W	D
YDR312W	D
YDR344C	D
YDR407C	D
YDR284C	D
YDR375C	D
YDR324C	D
YDR185C	D
YDR212W	D
YDR300C	D
YDR435C	D
YDR487C	D
YDR507C	D
YDR387C	D
YDR201W	D
YDR380W	D
YDR440W	D
YDR301W	D
YDR366C	D
YDR353W	D
YDR333C	D
YDR160W	D
YDR311W	D
YDR345C	D
YDR177W	D
YDR305C	D
YDR374C	D
YDR517W	D
YDR235W	D
YDR522C	D
YDR229W	D
YDR437W	D
YDR336W	D
YDR520C	D
YDR315C	D
YDR482C	D
YDR267C	D
YDR332W	D
YDR330W	D
YDR445C	D
YDR358W	D
YDR508C	D
YDR391C	D
YDR323C	D
YDR286C	D
YDR319C	D
YDR257C	D
YDR272W	D
YDR438W	D
YDR430C	D
YDR398W	D
YDR170C	D
YDR515W	D
YDR264C	D
YDR159W	D
YDR444W	D
YDR163W	D
YDR176W	D
YDR412W	D
YDR419W	D
YDR395W	D
YDR356W	D
YDR210W	D
YDR227W	D
YDR496C	D
YDR203W	D
YDR462W	D
YDR247W	D
YDR169C	D
YDR217C	D
YDR355C	D
YDR343C	D
YDR232W	D
YDR174W	D
YDR234W	D
YDR228C	D
YDR470C	D
YDR378C	D
YDR255C	D
YDR480W	D
YDR196C	D
YDR248C	D
YDR192C	D
