Gene	Community
YAL018C	6
YAL030W	7
YAL044C	6
YAR062W	1
YBL056W	7
YBL108W	2
YBL112C	3
YBR140C	4
YBR143C	4
YBR218C	4
YBR226C	4
YBR235W	6
YBR260C	7
YBR263W	7
YCL035C	7
YCL050C	6
YCL074W	2
YCL075W	2
YCR039C	3
YCR044C	6
YCR077C	7
YDL001W	4
YDL114W	6
YDL136W	5
YDL149W	6
YDL178W	4
YDL187C	7
YDL188C	6
YDR001C	4
YDR002W	4
YDR094W	4
YDR107C	7
YDR108W	7
YDR154C	5
YDR155C	5
YDR156W	5
YDR157W	5
YDR202C	6
YDR252W	4
YDR271C	4
YDR328C	6
YDR377W	4
YDR426C	6
YDR449C	5
YEL035C	5
YEL074W	3
YEL076C	3
YEL077C	3
YER106W	6
YER107C	6
YER111C	3
YER112W	3
YER121W	6
YER122C	7
YER123W	7
YER124C	7
YER125W	7
YER141W	4
YFL032W	4
YFL064C	3
YGL045W	1
YGL128C	7
YGL129C	6
YGL139W	6
YGL140C	6
YGL141W	6
YGL153W	4
YGL165C	6
YGL173C	6
YGR011W	6
YGR017W	4
YGR019W	6
YGR046W	4
YGR129W	7
YGR130C	7
YGR131W	7
YGR132C	7
YGR279C	5
YHR021C	5
YHR082C	7
YHR131C	7
YHR132C	6
YIL002C	4
YIL077C	6
YIL153W	7
YIL154C	7
YIL155C	7
YIL176C	2
YIR023W	6
YIR041W	2
YJL071W	7
YJL072C	7
YJL134W	5
YJL223C	2
YJR026W	4
YJR027W	4
YJR028W	4
YJR064W	7
YJR065C	7
YJR066W	7
YJR118C	6
YJR132W	4
YKL047W	7
YKL145W	6
YKL204W	6
YKL214C	6
YKR024C	7
YKR032W	6
YKR104W	2
YKR105C	2
YKR106W	2
YLL008W	6
YLL057C	4
YLL060C	4
YLR016C	6
YLR017W	6
YLR146C	6
YLR157C	1
YLR158C	1
YLR170C	4
YLR201C	7
YLR202C	7
YLR203C	7
YLR204W	7
YLR217W	6
YLR241W	6
YLR282C	4
YLR294C	4
YLR316C	4
YLR392C	6
YLR417W	6
YLR464W	3
YLR465C	3
YLR466W	3
YLR467W	3
YML057W	4
YML090W	4
YML096W	4
YML097C	4
YMR005W	7
YMR088C	4
YMR157C	7
YMR158W	7
YMR159C	7
YMR168C	6
YMR190C	6
YMR323W	2
YMR324C	2
YMR325W	2
YNL048W	6
YNL138W	7
YNL171C	6
YNL172W	6
YNL204C	3
YNL227C	3
YNL323W	7
YNL339C	4
YNR037C	7
YNR038W	7
YOL109W	5
YOL126C	7
YOL148C	7
YOL161C	2
YOR015W	7
YOR016C	6
YOR022C	6
YOR023C	7
YOR024W	7
YOR092W	6
YOR104W	4
YOR195W	7
YOR196C	7
YOR198C	6
YOR202W	3
YOR203W	3
YOR207C	6
YOR208W	6
YOR218C	1
YOR225W	6
YOR226C	4
YOR227W	4
YOR253W	7
YOR263C	6
YOR281C	4
YOR289W	7
YOR365C	4
YOR391C	2
YOR393W	2
YPL071C	6
YPL072W	6
YPL090C	5
YPL182C	7
YPL213W	7
YPL215W	7
YPL238C	4
YPL244C	7
YPL245W	7
YPL276W	3
YPL277C	3
YPL282C	2
YPR047W	7
YPR049C	7
YPR187W	6
