Gene	Continent
YLR180W	Laurasia
YLR323C	Laurasia
YLR315W	Laurasia
YLR187W	Laurasia
YLR183C	Laurasia
YLR327C	Laurasia
YLR182W	Laurasia
YLR133W	Laurasia
YLR184W	Laurasia
YLR087C	Laurasia
YLR302C	Laurasia
YLR332W	Laurasia
YLR328W	Laurasia
YLR075W	Laurasia
YLR085C	Laurasia
YLR128W	Laurasia
YLR132C	Laurasia
YLR130C	Laurasia
YLR321C	Laurasia
YLR243W	Laurasia
YLR086W	Laurasia
YLR082C	Laurasia
YLR080W	Laurasia
YLR242C	Laurasia
YLR301W	Laurasia
YLR193C	Laurasia
YLR319C	Laurasia
YLR305C	Laurasia
YLR078C	Laurasia
YLR309C	Laurasia
YLR316C	Laurasia
YLR192C	Laurasia
YLR084C	Laurasia
YLR325C	Laurasia
YLR318W	Laurasia
YLR129W	Laurasia
YLR067C	Laurasia
YLR304C	Laurasia
YLR065C	Laurasia
YLR191W	Laurasia
YLR311C	Laurasia
YLR314C	Laurasia
YLR131C	Laurasia
YLR079W	Laurasia
YLR194C	Laurasia
YLR188W	Laurasia
YLR064W	Laurasia
YLR226W	Laurasia
YLR076C	Laurasia
YLR136C	Laurasia
YLR069C	Laurasia
YLR081W	Laurasia
YLR135W	Laurasia
YLR227C	Laurasia
YLR071C	Laurasia
YLR310C	Laurasia
YLR322W	Laurasia
YLR073C	Laurasia
YLR189C	Laurasia
YLR331C	Laurasia
YLR186W	Laurasia
YLR134W	Laurasia
YLR330W	Laurasia
YLR307W	Laurasia
YLR137W	Laurasia
YLR068W	Laurasia
YLR088W	Laurasia
YLR313C	Laurasia
YLR181C	Laurasia
YLR300W	Laurasia
YLR083C	Laurasia
YLR306W	Laurasia
YLR066W	Laurasia
YLR326W	Laurasia
YLR077W	Laurasia
YLR317W	Laurasia
YLR329W	Laurasia
YLR303W	Laurasia
YLR320W	Laurasia
YLR324W	Laurasia
YLR185W	Laurasia
YLR308W	Laurasia
YLR072W	Laurasia
YLR074C	Laurasia
YLR244C	Laurasia
YLR312C	Laurasia
YLR245C	Laurasia
YLR070C	Laurasia
YLR190W	Laurasia
YEL067C	Laurasia
YGR089W	Laurasia
YGL097W	Laurasia
YIL069C	Laurasia
YGL252C	Laurasia
YGL071W	Laurasia
YIL063C	Laurasia
YER121W	Laurasia
YGR092W	Laurasia
YGL126W	Laurasia
YGL125W	Laurasia
YER124C	Laurasia
YGL057C	Laurasia
YER081W	Laurasia
YGL164C	Laurasia
YIL169C	Laurasia
YGL127C	Laurasia
YGL068W	Laurasia
YIL115C	Laurasia
YGL064C	Laurasia
YIL152W	Laurasia
YGL062W	Laurasia
YIL166C	Laurasia
YLR008C	Laurasia
YIL061C	Laurasia
YER126C	Laurasia
YGL160W	Laurasia
YGL132W	Laurasia
YER094C	Laurasia
YIL107C	Laurasia
YGL055W	Laurasia
YIL164C	Laurasia
YIL113W	Laurasia
YIL082W	Laurasia
YIL139C	Laurasia
YER085C	Laurasia
YER092W	Laurasia
YER115C	Laurasia
YGR088W	Laurasia
YEL066W	Laurasia
YIL076W	Laurasia
YLR014C	Laurasia
YGL256W	Laurasia
YGL081W	Laurasia
YER055C	Laurasia
YGL121C	Laurasia
YIL101C	Laurasia
YIL102C	Laurasia
YGL074C	Laurasia
YLL002W	Laurasia
YIL100W	Laurasia
YIL086C	Laurasia
YIL079C	Laurasia
YGL079W	Laurasia
YGL065C	Laurasia
YGL134W	Laurasia
YIL099W	Laurasia
YGL136C	Laurasia
YIL165C	Laurasia
YGL078C	Laurasia
YGL172W	Laurasia
YGL166W	Laurasia
YEL065W	Laurasia
YIL064W	Laurasia
YLR023C	Laurasia
YER107C	Laurasia
YIL094C	Laurasia
YGL165C	Laurasia
YIL083C	Laurasia
YGL093W	Laurasia
YER125W	Laurasia
YLR001C	Laurasia
YGL073W	Laurasia
YER122C	Laurasia
YLR013W	Laurasia
YIL132C	Laurasia
YER111C	Laurasia
YGR090W	Laurasia
YIL148W	Laurasia
YGR081C	Laurasia
YGL130W	Laurasia
YER117W	Laurasia
YGL253W	Laurasia
YER086W	Laurasia
YIL088C	Laurasia
YER106W	Laurasia
YER088C	Laurasia
YIL124W	Laurasia
YGR091W	Laurasia
YIL140W	Laurasia
YGL080W	Laurasia
YIL110W	Laurasia
YLR022C	Laurasia
YER103W	Laurasia
YGL169W	Laurasia
YIL145C	Laurasia
YER082C	Laurasia
YLR004C	Laurasia
YLR010C	Laurasia
YEL064C	Laurasia
YIL062C	Laurasia
YLL005C	Laurasia
YIL072W	Laurasia
YIL131C	Laurasia
YGL209W	Laurasia
YIL087C	Laurasia
YGR087C	Laurasia
YIL074C	Laurasia
YGL161C	Laurasia
YGL094C	Laurasia
YGL257C	Laurasia
YIL120W	Laurasia
YER120W	Laurasia
YIL147C	Laurasia
YER101C	Laurasia
YIL153W	Laurasia
YIL129C	Laurasia
YER099C	Laurasia
YIL149C	Laurasia
YER093C	Laurasia
YLR011W	Laurasia
YER097W	Laurasia
YIL075C	Laurasia
YER079W	Laurasia
YIL109C	Laurasia
YGL170C	Laurasia
YER083C	Laurasia
YIL130W	Laurasia
YER091C	Laurasia
YGL059W	Laurasia
YGL123W	Laurasia
YLR012C	Laurasia
YER105C	Laurasia
YIL125W	Laurasia
YER078C	Laurasia
YIL119C	Laurasia
YER090W	Laurasia
YER119C	Laurasia
YER104W	Laurasia
YGL069C	Laurasia
YGL095C	Laurasia
YIL122W	Laurasia
YLR016C	Laurasia
YIL126W	Laurasia
YIL066C	Laurasia
YER113C	Laurasia
YER087W	Laurasia
YLR021W	Laurasia
YGL070C	Laurasia
YIL142W	Laurasia
YGL167C	Laurasia
YER123W	Laurasia
YLL007C	Laurasia
YGL210W	Laurasia
YER089C	Laurasia
YGR083C	Laurasia
YLL008W	Laurasia
YLR024C	Laurasia
YGL066W	Laurasia
YIL121W	Laurasia
YGL208W	Laurasia
YLR015W	Laurasia
YGL056C	Laurasia
YIL128W	Laurasia
YGL137W	Laurasia
YIL084C	Laurasia
YIL137C	Laurasia
YIL097W	Laurasia
YIL136W	Laurasia
YIL108W	Laurasia
YLR019W	Laurasia
YIL068C	Laurasia
YLL004W	Laurasia
YLR007W	Laurasia
YIL151C	Laurasia
YGR085C	Laurasia
YLR006C	Laurasia
YER102W	Laurasia
YGL255W	Laurasia
YLR002C	Laurasia
YIL104C	Laurasia
YGL159W	Laurasia
YIL117C	Laurasia
YGR093W	Laurasia
YER084W	Laurasia
YGL162W	Laurasia
YIL141W	Laurasia
YLL001W	Laurasia
YGL254W	Laurasia
YIL134W	Laurasia
YIL096C	Laurasia
YIL111W	Laurasia
YGL138C	Laurasia
YIL105C	Laurasia
YGL118C	Laurasia
YLR017W	Laurasia
YIL085C	Laurasia
YIL098C	Laurasia
YGR082W	Laurasia
YGL122C	Laurasia
YLR020C	Laurasia
YGL119W	Laurasia
YLL006W	Laurasia
YGL129C	Laurasia
YGL060W	Laurasia
YGL096W	Laurasia
YER116C	Laurasia
YLR005W	Laurasia
YGR086C	Laurasia
YIL070C	Laurasia
YER112W	Laurasia
YLL009C	Laurasia
YIL144W	Laurasia
YIL106W	Laurasia
YIL138C	Laurasia
YIL078W	Laurasia
YIL118W	Laurasia
YER098W	Laurasia
YER095W	Laurasia
YER080W	Laurasia
YIL150C	Laurasia
YIL116W	Laurasia
YIL071C	Laurasia
YIL065C	Laurasia
YGL072C	Laurasia
YGL124C	Laurasia
YGL077C	Laurasia
YER056C	Laurasia
YLR018C	Laurasia
YIL123W	Laurasia
YIL146C	Laurasia
YGL135W	Laurasia
YGL067W	Laurasia
YLR003C	Laurasia
YGL168W	Laurasia
YER110C	Laurasia
YIL067C	Laurasia
YIL135C	Laurasia
YGL061C	Laurasia
YER096W	Laurasia
YIL073C	Laurasia
YER118C	Laurasia
YER100W	Laurasia
YGR094W	Laurasia
YGL063W	Laurasia
YER054C	Laurasia
YIL112W	Laurasia
YIL095W	Laurasia
YGR084C	Laurasia
YIL114C	Laurasia
YIL127C	Laurasia
YGL171W	Laurasia
YGL076C	Laurasia
YGL120C	Laurasia
YIL143C	Laurasia
YLR009W	Laurasia
YIL077C	Laurasia
YGL211W	Laurasia
YIL133C	Laurasia
YGL258W	Laurasia
YIL103W	Laurasia
YGL128C	Laurasia
YGL131C	Laurasia
YGL075C	Laurasia
YGL058W	Laurasia
YGL163C	Laurasia
YGL054C	Laurasia
YLL003W	Laurasia
YER114C	Laurasia
YGL133W	Laurasia
YDR184C	Laurasia
YDR399W	Laurasia
YDR273W	Laurasia
YDR214W	Laurasia
YDR484W	Laurasia
YDR432W	Laurasia
YDR245W	Laurasia
YDR216W	Laurasia
YDR268W	Laurasia
YDR290W	Laurasia
YDR423C	Laurasia
YDR261C	Laurasia
YDR372C	Laurasia
YDR386W	Laurasia
YDR195W	Laurasia
YDR421W	Laurasia
YDR478W	Laurasia
YDR360W	Laurasia
YDR321W	Laurasia
YDR226W	Laurasia
YDR341C	Laurasia
YDR427W	Laurasia
YDR293C	Laurasia
YDR461W	Laurasia
YDR237W	Laurasia
YDR383C	Laurasia
YDR428C	Laurasia
YDR241W	Laurasia
YDR422C	Laurasia
YDR431W	Laurasia
YDR181C	Laurasia
YDR253C	Laurasia
YDR526C	Laurasia
YDR223W	Laurasia
YDR302W	Laurasia
YDR351W	Laurasia
YDR527W	Laurasia
YDR485C	Laurasia
YDR528W	Laurasia
YDR152W	Laurasia
YDR266C	Laurasia
YDR175C	Laurasia
YDR270W	Laurasia
YDR379W	Laurasia
YDR285W	Laurasia
YDR385W	Laurasia
YDR186C	Laurasia
YDR225W	Laurasia
YDR439W	Laurasia
YDR326C	Laurasia
YDR298C	Laurasia
YDR269C	Laurasia
YDR406W	Laurasia
YDR446W	Laurasia
YDR188W	Laurasia
YDR342C	Laurasia
YDR198C	Laurasia
YDR164C	Laurasia
YDR278C	Laurasia
YDR442W	Laurasia
YDR393W	Laurasia
YDR389W	Laurasia
YDR219C	Laurasia
YDR238C	Laurasia
YDR173C	Laurasia
YDR384C	Laurasia
YDR365C	Laurasia
YDR501W	Laurasia
YDR443C	Laurasia
YDR475C	Laurasia
YDR167W	Laurasia
YDR254W	Laurasia
YDR469W	Laurasia
YDR304C	Laurasia
YDR240C	Laurasia
YDR156W	Laurasia
YDR244W	Laurasia
YDR349C	Laurasia
YDR369C	Laurasia
YDR259C	Laurasia
YDR465C	Laurasia
YDR506C	Laurasia
YDR249C	Laurasia
YDR473C	Laurasia
YDR504C	Laurasia
YDR288W	Laurasia
YDR310C	Laurasia
YDR362C	Laurasia
YDR464W	Laurasia
YDR154C	Laurasia
YDR451C	Laurasia
YDR476C	Laurasia
YDR409W	Laurasia
YDR316W	Laurasia
YDR339C	Laurasia
YDR213W	Laurasia
YDR276C	Laurasia
YDR535C	Laurasia
YDR403W	Laurasia
YDR199W	Laurasia
YDR537C	Laurasia
YDR460W	Laurasia
YDR447C	Laurasia
YDR231C	Laurasia
YDR400W	Laurasia
YDR161W	Laurasia
YDR183W	Laurasia
YDR275W	Laurasia
YDR466W	Laurasia
YDR172W	Laurasia
YDR297W	Laurasia
YDR397C	Laurasia
YDR204W	Laurasia
YDR155C	Laurasia
YDR287W	Laurasia
YDR202C	Laurasia
YDR425W	Laurasia
YDR479C	Laurasia
YDR292C	Laurasia
YDR262W	Laurasia
