Gene	Field
YPR102C	A
YPR106W	A
YMR120C	A
YMR109W	A
YPR100W	A
YPR111W	A
YMR096W	A
YMR099C	A
YMR100W	A
YMR130W	A
YMR121C	A
YMR128W	A
YMR098C	A
YPR101W	A
YMR089C	A
YMR101C	A
YPR096C	A
YPR105C	A
YPR117W	A
YMR118C	A
YMR125W	A
YPR112C	A
YPR113W	A
YPR116W	A
snR24	A
YMR123W	A
YMR095C	A
YMR117C	A
YMR090W	A
YMR116C	A
YMR104C	A
YMR113W	A
YPR110C	A
YMR091C	A
YMR126C	A
YMR093W	A
YMR108W	A
YMR107W	A
YPR114W	A
YMR129W	A
YMR097C	A
YPR099C	A
YMR111C	A
YMR105C	A
YPR115W	A
YMR092C	A
YPR097W	A
YPR109W	A
YMR114C	A
YMR122C	A
YPR103W	A
YPR098C	A
YMR110C	A
YMR106C	A
YMR112C	A
YMR124W	A
YMR102C	A
YPR108W	A
YMR115W	A
YMR103C	A
YMR119W	A
YPR104C	A
YMR127C	A
YPR107C	A
YMR094W	A
YHR081W	B
YHR066W	B
YPL091W	B
YHR090C	B
YHR144C	B
YHR109W	B
YHR139C	B
YHR154W	B
YHR070W	B
YPL078C	B
YHR132C	B
YPL060W	B
YHR077C	B
YPL061W	B
YHR097C	B
YHR105W	B
YHR111W	B
YHR152W	B
YHR140W	B
YHR127W	B
YHR093W	B
YPL086C	B
YHR148W	B
YHR059W	B
YHR158C	B
YPL066W	B
YPL067C	B
YPL090C	B
YPL074W	B
YPL075W	B
YPL076W	B
YPL062W	B
YHR073W	B
YHR121W	B
YHR123W	B
YHR082C	B
YPL094C	B
YHR131C	B
YPL073C	B
YHR057C	B
snR71	B
YHR084W	B
YPL088W	B
YHR075C	B
YHR130C	B
YPL087W	B
YHR114W	B
YHR102W	B
YHR083W	B
YHR150W	B
YPL068C	B
YHR122W	B
YHR069C	B
YPL079W	B
YHR079C	B
YPL085W	B
YPL071C	B
YHR157W	B
YHR118C	B
YPL082C	B
YHR056C	B
YPL069C	B
YHR113W	B
YPL063W	B
YPL065W	B
YHR137W	B
YHR141C	B
YHR088W	B
YPL083C	B
YHR091C	B
YPL175W	B
YPL070W	B
YHR133C	B
YHR080C	B
YHR153C	B
YHR129C	B
YHR110W	B
YHR089C	B
YHR101C	B
YHR063C	B
YHR104W	B
YHR085W	B
YHR117W	B
YHR125W	B
YHR106W	B
YHR147C	B
YHR156C	B
YPL176C	B
YHR155W	B
YPL081W	B
YHR112C	B
YHR092C	B
YHR145C	B
snR32	B
YHR143W	B
YHR086W	B
YPL174C	B
YHR124W	B
YHR061C	B
YHR072W	B
YHR151C	B
YHR062C	B
YPL084W	B
YHR142W	B
YHR099W	B
YHR116W	B
YHR134W	B
YHR103W	B
YHR087W	B
YHR126C	B
YHR096C	B
YPL077C	B
YHR115C	B
YPL089C	B
YHR076W	B
YPL080C	B
YHR138C	B
YHR149C	B
YHR135C	B
YHR098C	B
YHR108W	B
YHR064C	B
YHR095W	B
YHR068W	B
YPL093W	B
YHR058C	B
YHR065C	B
YHR094C	B
YPL095C	B
YHR120W	B
YHR146W	B
YHR071W	B
YHR060W	B
YPL064C	B
YHR128W	B
YHR119W	B
YHR067W	B
YPL072W	B
YHR100C	B
YHR074W	B
YHR107C	B
YHR078W	B
YPL092W	B
YHR136C	B
YPL034W	C
YDR013W	C
YFL010C	C
YHL016C	C
YFR007W	C
YHL015W	C
YIR042C	C
YKR013W	C
YDL029W	C
YDL024C	C
YIL021W	C
snR87	C
YIR004W	C
YFL009W	C
YJL004C	C
YCR018C	C
YHL028W	C
YFL045C	C
YBL009W	C
YKL012W	C
YNL002C	C
YAL021C	C
YCR019W	C
YFL038C	C
YPR008W	C
YIL011W	C
YKR023W	C
YLL037W	C
YIR022W	C
YKR003W	C
YBL007C	C
YHL023C	C
YPR025C	C
YIR017C	C
YEL014C	C
YIL007C	C
YNR003C	C
YEL006W	C
YMR002W	C
YER006W	C
YPR015C	C
snR72	C
YDR002W	C
YHL020C	C
YHR018C	C
YCR009C	C
YBL013W	C
YIL006W	C
YEL016C	C
YKR004C	C
snR75	C
YBL012C	C
YFR003C	C
YGL009C	C
YLL047W	C
YPL028W	C
YIR043C	C
YMR017W	C
YDR005C	C
YGL006W	C
YDL023C	C
YHL042W	C
YML003W	C
YIR005W	C
YKR010C	C
snR74	C
YBL004W	C
YEL013W	C
YIR038C	C
YBR004C	C
YCR008W	C
YIL010W	C
YHL025W	C
YPL019C	C
YPL030W	C
YBR002C	C
YML031W	C
YFL014W	C
YIR016W	C
YKL003C	C
YPR009W	C
YIR030C	C
YHL031C	C
YIR020C	C
YAL015C	C
YFL046W	C
YPR003C	C
YER008C	C
snR77	C
YDR017C	C
YMR009W	C
YAL010C	C
YIL014W	C
YOL005C	C
YIR031C	C
YIR040C	C
YIR044C	C
YFR017C	C
YIR014W	C
YDR021W	C
YDL028C	C
YDR011W	C
YHR003C	C
YIR009W	C
YFL015C	C
YPR012W	C
YPL033C	C
YOL001W	C
YEL007W	C
YLL045C	C
YEL003W	C
YAL008W	C
YHL030W	C
YLL040C	C
YFL005W	C
YNR014W	C
YBR011C	C
YHL027W	C
YAL012W	C
YML021C	C
YGL008C	C
YFR001W	C
YAR019C	C
YFL051C	C
YNL004W	C
YMR006C	C
RUF20	C
YKR001C	C
YIR008C	C
YGR006W	C
YEL004W	C
YFL031W	C
YIL013C	C
YFL011W	C
YBL018C	C
YPR024W	C
YPL027W	C
YDL007W	C
YML005W	C
YOL002C	C
YML013W	C
YFL008W	C
YHL039W	C
YFR018C	C
YML020W	C
YHR029C	C
YML027W	C
YJL002C	C
YIR021W	C
YMR005W	C
YMR008C	C
YNR002C	C
YOR004W	C
YEL012W	C
YDL014W	C
YNR008W	C
YBL019W	C
YCR010C	C
YGL011C	C
YHR014W	C
YLL048C	C
