Gene	Field
YLR145W	A
YLR159W	A
YLR114C	A
YLR141W	A
YLR143W	A
YLR154C	A
YLR098C	A
YLR174W	A
YLR175W	A
YLR099C	A
YLR124W	A
YLR163C	A
YLR172C	A
YLR160C	A
YLR109W	A
YLR100W	A
YLR176C	A
YLR156W	A
YLR173W	A
YLR139C	A
YLR158C	A
YLR169W	A
YLR150W	A
YLR110C	A
YLR153C	A
YLR115W	A
YLR166C	A
YLR149C	A
YLR147C	A
YLR171W	A
YLR151C	A
YLR108C	A
YLR111W	A
YLR116W	A
YLR123C	A
YLR144C	A
YLR155C	A
YLR165C	A
YLR101C	A
YLR167W	A
YLR162W	A
YLR140W	A
YLR142W	A
YLR125W	A
YLR161W	A
YLR122C	A
YLR168C	A
YLR177W	A
YLR157C	A
YLR138W	A
YLR148W	A
YLR170C	A
YLR146C	A
YLR152C	A
YLR164W	A
snR6	A
YLR102C	A
YPR065W	B
YKR103W	B
YDL063C	B
YPR061C	B
YMR057C	B
YPR053C	B
YMR045C	B
YMR034C	B
YPR054W	B
YPR037C	B
YPR045C	B
YPR038W	B
YMR054W	B
YPR049C	B
YDL054C	B
YPR066W	B
YPR055W	B
YMR061W	B
YDR035W	B
YMR030W	B
YDR036C	B
YMR060C	B
YPR042C	B
YPR067W	B
YDL069C	B
YMR041C	B
YMR066W	B
YMR046C	B
YMR059W	B
YMR058W	B
YPR052C	B
YPR047W	B
YMR031C	B
YPR058W	B
YDL065C	B
YMR048W	B
YPR059C	B
YPR062W	B
YDL058W	B
YPR041W	B
YPR060C	B
YMR038C	B
YMR044W	B
YDL061C	B
YPR043W	B
YDL067C	B
YMR032W	B
YMR039C	B
YKR102W	B
YMR033W	B
YPR068C	B
YMR051C	B
YDL056W	B
YMR056C	B
YMR036C	B
YMR050C	B
YPR046W	B
YPR048W	B
YMR053C	B
YDL059C	B
YPR039W	B
YDL057W	B
YPR051W	B
YDR039C	B
YMR040W	B
YMR043W	B
YKR105C	B
YDL068W	B
YMR062C	B
YMR052W	B
YDL062W	B
YMR049C	B
YPR057W	B
YPR050C	B
YMR063W	B
YMR055C	B
YDL055C	B
YMR064W	B
YDL064W	B
YMR065W	B
YMR035W	B
YMR037C	B
YDR038C	B
YPR064W	B
YMR047C	B
YDR037W	B
YKR104W	B
YKR106W	B
YMR042W	B
YDL060W	B
YPR040W	B
YPR056W	B
YPR063C	B
YPR036W	B
YDL066W	B
YPR044C	B
YKR052C	C
YFL055W	C
YKR024C	C
YDR023W	C
YKR037C	C
YKL061W	C
YKL060C	C
YDR017C	C
YDL045C	C
YKR028W	C
YKR027W	C
YFL060C	C
YDL042C	C
YFL051C	C
YKL052C	C
YKR051W	C
YKR054C	C
YKR033C	C
YDR015C	C
YFL064C	C
YDR025W	C
YKR029C	C
YDL044C	C
YFL054C	C
YFL062W	C
YKL058W	C
YDR022C	C
YKL051W	C
YFL059W	C
YKR025W	C
YKR053C	C
YDL036C	C
YKR034W	C
YDR020C	C
YKL057C	C
YDL028C	C
YFL067W	C
YKL053W	C
YDR024W	C
YKR036C	C
YFL049W	C
YDR016C	C
YKL044W	C
YFL052W	C
YKL046C	C
YDL033C	C
YKL042W	C
YKL063C	C
YDL026W	C
YFL063W	C
YDR019C	C
YKL045W	C
YDR028C	C
YKR031C	C
