Gene	Field
YOR110W	A
YKL141W	A
YKL166C	A
YKL139W	A
YKL165C	A
YOR103C	A
YOR097C	A
YKL168C	A
YKL170W	A
YKL167C	A
YOR102W	A
YKL132C	A
YOR098C	A
YOR106W	A
YKL134C	A
YKL174C	A
YOR109W	A
YOR099W	A
YKL175W	A
YOR094W	A
YOR118W	A
YKL135C	A
YKL140W	A
YKL131W	A
YKL172W	A
YOR092W	A
YOR090C	A
YOR112W	A
YOR113W	A
YOR096W	A
YKL142W	A
YOR111W	A
YOR127W	A
YKL133C	A
YOR100C	A
YOR125C	A
YKL173W	A
YKL137W	A
YOR095C	A
YKL214C	A
YKL204W	A
YOR116C	A
YOR108W	A
YKL130C	A
YOR105W	A
YOR115C	A
YKL215C	A
YKL136W	A
YOR117W	A
YKL138C	A
YKL203C	A
YKL171W	A
YOR107W	A
YKL169C	A
YOR093C	A
YOR104W	A
YOR101W	A
YOR114W	A
YKL176C	A
YOR091W	A
YKL213C	A
YOR126C	A
YJR030C	B
YJL041W	B
YJL042W	B
YJR062C	B
YJL047C	B
YJR090C	B
YJL045W	B
YJL080C	B
YJL057C	B
YJL081C	B
YJR068W	B
YJL083W	B
YJL082W	B
YJL069C	B
YJL065C	B
YJR051W	B
YJR049C	B
YJR064W	B
YNL042W	B
YJL066C	B
YJR046W	B
YJR067C	B
YJR044C	B
YJL055W	B
YJL049W	B
YJR078W	B
YJL048C	B
YJR035W	B
YJR054W	B
YJR048W	B
YJR084W	B
YJL043W	B
YJR045C	B
YJL058C	B
YJR079W	B
YJR040W	B
YJR076C	B
YJR103W	B
YJL068C	B
YJL074C	B
YJR077C	B
YJR099W	B
YJR047C	B
YJL079C	B
YJR071W	B
YJR080C	B
YJL067W	B
YJR102C	B
YJR043C	B
YJL039C	B
YJR031C	B
YJL050W	B
YJR060W	B
YJR087W	B
YJL073W	B
YJL046W	B
YJR063W	B
YJL044C	B
YJR057W	B
YJL075C	B
YJL060W	B
YJL071W	B
YJL062W	B
YJR106W	B
YJR066W	B
YJR037W	B
YJR042W	B
YJR029W	B
YJR032W	B
YJR056C	B
YJR082C	B
YJR074W	B
YJR091C	B
YJL078C	B
YJR052W	B
YJL059W	B
YJR072C	B
YJR036C	B
YJR061W	B
YJR096W	B
YJR098C	B
YJL051W	B
YJL053W	B
YJL070C	B
YJL077C	B
YJR073C	B
YJR065C	B
YJL054W	B
YJR086W	B
YJR104C	B
YJR101W	B
YJR105W	B
YJL061W	B
YJR055W	B
YJR039W	B
YJR085C	B
YJR070C	B
YJR069C	B
YJL084C	B
YJR033C	B
YJL052W	B
YJL056C	B
YJR053W	B
YJR100C	B
YJR058C	B
YJR041C	B
YJL072C	B
YJR083C	B
YJR038C	B
YJR075W	B
YJR059W	B
YJL076W	B
YJL064W	B
YJR089W	B
YJR034W	B
YJR088C	B
YJR097W	B
YJR050W	B
YJL063C	B
YHR072W	C
YHR057C	C
YHR075C	C
YHR070W	C
YHR054C	C
YHR164C	C
YHR073W	C
YBR050C	C
YBR053C	C
YCR052W	C
YBR036C	C
YHR083W	C
YCR045C	C
YHR084W	C
YHR045W	C
YHR090C	C
YHR044C	C
YCR057C	C
YHR161C	C
YHR042W	C
YCR047C	C
YHR050W	C
YHR052W	C
YHR074W	C
YBR045C	C
YHR168W	C
YBR035C	C
YBR033W	C
YBR044C	C
YCR042C	C
YBR040W	C
YHR152W	C
YHR162W	C
YBR043C	C
YBR038W	C
YCR043C	C
YHR158C	C
YHR038W	C
YBR052C	C
YHR060W	C
YHR047C	C
YHR039C	C
YCR066W	C
YBR049C	C
YCR050C	C
YHR046C	C
YCR060W	C
YCR048W	C
YHR049W	C
YHR043C	C
YBR030W	C
YCR063W	C
YCR046C	C
YHR063C	C
YHR048W	C
YHR154W	C
YHR076W	C
YHR163W	C
YHR078W	C
YCR064C	C
YBR031W	C
YBR037C	C
YCR051W	C
YCR049C	C
YHR085W	C
YBR054W	C
YHR160C	C
YCR061W	C
YHR159W	C
YHR156C	C
YHR166C	C
YBR048W	C
YBR046C	C
YHR082C	C
YHR055C	C
YCR053W	C
YHR081W	C
YBR039W	C
YCR065W	C
YBR051W	C
YHR041C	C
YCR054C	C
YBR042C	C
YHR051W	C
YHR088W	C
YHR053C	C
YHR069C	C
YHR059W	C
YHR066W	C
YHR071W	C
YCR067C	C
YBR041W	C
YHR064C	C
YHR165C	C
YHR169W	C
YHR167W	C
YHR089C	C
YHR062C	C
YHR155W	C
YCR059C	C
YHR153C	C
YHR077C	C
YHR087W	C
YHR170W	C
YBR034C	C
YHR157W	C
YHR037W	C
YHR061C	C
YHR067W	C
YBR032W	C
YHR058C	C
YHR056C	C
YHR068W	C
YHR040W	C
YHR079C	C
YCR044C	C
YBR047W	C
YHR065C	C
YHR086W	C
YHR080C	C
YMR233W	D
YPL262W	D
YMR263W	D
YMR234W	D
YPL253C	D
YPL116W	D
YMR269W	D
YPL265W	D
YMR235C	D
YMR260C	D
YPL209C	D
YMR258C	D
YPL260W	D
YPL216W	D
YMR244W	D
YMR226C	D
YPL255W	D
YMR252C	D
YMR197C	D
YPL244C	D
YMR274C	D
YPL238C	D
YPL237W	D
YMR265C	D
YMR266W	D
YPL210C	D
YMR259C	D
YMR205C	D
YPL223C	D
YPL246C	D
YMR224C	D
YMR229C	D
YPL224C	D
YMR199W	D
YPL259C	D
YMR257C	D
YPL264C	D
YMR246W	D
YMR200W	D
YPL207W	D
YMR276W	D
YPL203W	D
YPL243W	D
YMR261C	D
YPL231W	D
YMR264W	D
YPL230W	D
YMR193W	D
YPL235W	D
YPL219W	D
YPL240C	D
YMR225C	D
YPL205C	D
YPL118W	D
YMR240C	D
YPL115C	D
YMR270C	D
YMR189W	D
YMR242C	D
YMR236W	D
YMR253C	D
YPL220W	D
YMR227C	D
YPL208W	D
YMR237W	D
YPL229W	D
YPL250C	D
YMR275C	D
YMR247C	D
YMR273C	D
YPL222W	D
YMR187C	D
YPL263C	D
YPL257W	D
YPL225W	D
YPL261C	D
YPL267W	D
YMR195W	D
YMR203W	D
YPL214C	D
YMR255W	D
YPL248C	D
YPL221W	D
YMR267W	D
YMR272C	D
YMR230W	D
YMR245W	D
YPL266W	D
YMR241W	D
YMR243C	D
YPL226W	D
YMR223W	D
YMR208W	D
YPL218W	D
YPL213W	D
YPL232W	D
YPL258C	D
YPL252C	D
YMR271C	D
YMR207C	D
YPL217C	D
YMR216C	D
YMR210W	D
YPL247C	D
YMR213W	D
YMR231W	D
YPL202C	D
YMR232W	D
YMR196W	D
YMR192W	D
YPL228W	D
YPL206C	D
YPL234C	D
YPL211W	D
YMR238W	D
YPL239W	D
YMR206W	D
YMR217W	D
YPL245W	D
YMR202W	D
YMR188C	D
YPL254W	D
YPL119C	D
YMR262W	D
YMR220W	D
YPL204W	D
YMR254C	D
YMR221C	D
YMR239C	D
YPL251W	D
YMR268C	D
YPL117C	D
YPL242C	D
YPL227C	D
YPL268W	D
YMR194W	D
YMR214W	D
YMR204C	D
YMR215W	D
YMR250W	D
YMR191W	D
YMR218C	D
YPL256C	D
YMR256C	D
YPL241C	D
YMR212C	D
YPL212C	D
YPL215W	D
YPL233W	D
YMR219W	D
YMR211W	D
YPL249C	D
YPL236C	D
YMR222C	D
YMR198W	D
YMR201C	D
YMR251W	D
YMR190C	D
YMR209C	D
YMR228W	D
YDR088C	E
YMR078C	E
YDR077W	E
YPR174C	E
YDL113C	E
YMR097C	E
YDL068W	E
YPR195C	E
YDR073W	E
YMR092C	E
YDL110C	E
YPR164W	E
YDL069C	E
YPR169W	E
YDR110W	E
