Gene	Field
YOL030W	A
YOL031C	A
YOL037C	A
YOL035C	A
YOR043W	A
YOL045W	A
YOR042W	A
YOR039W	A
YOL034W	A
YOR045W	A
YOL038W	A
YFL063W	A
YOL046C	A
YFL061W	A
snR62	A
YOL025W	A
YOL028C	A
YOR036W	A
YFL054C	A
YOL026C	A
YOL047C	A
YOR033C	A
YOL049W	A
YFL058W	A
YOR032W	A
snR9	A
YOR034C	A
snR81	A
YOL040C	A
YFL055W	A
YFL066C	A
YOL029C	A
snR50	A
YOR032C	A
YOL044W	A
YOR029W	A
YOR044W	A
YOR028C	A
YOL039W	A
YOL027C	A
YOL038C	A
YOL032W	A
YFL062W	A
YOL050C	A
YOL043C	A
YOL041C	A
YOL055C	A
YFL056C	A
YFL065C	A
YOL033W	A
YOR031W	A
YOL051W	A
YOL023W	A
YFL059W	A
YFL057C	A
YOL042W	A
YOR038C	A
YOR027W	A
YOL056W	A
YFL060C	A
YOL054W	A
YOL024W	A
YOL052C	A
YOL048C	A
YOR037W	A
YOL036W	A
YOR035C	A
YOL057W	A
YFL052W	A
YFL051C	A
YOR040W	A
YFL064C	A
YFL053W	A
YOR046C	A
YOR047C	A
YOR030W	A
YOL053W	A
YFL067W	A
YFL050C	A
YOR041C	A
YOL022C	A
YIL022W	B
YIL021W	B
YGR007W	B
YGL014C	B
YCL023C	B
YCL038C	B
YIL026C	B
YIL025C	B
YGR026W	B
YIL029C	B
YGR018C	B
YCL044C	B
YGR024C	B
YIL030W	B
YCL019W	B
YGR027W	B
YGR015C	B
YGR010W	B
YIL030C	B
YCL048W	B
YCL020W	B
YGL013C	B
YGR011W	B
YCL045C	B
YGR023W	B
YCL035C	B
YGR027C	B
YCL030C	B
YCL052C	B
YGR020C	B
YCL024W	B
YCL037C	B
YGR016W	B
YCL054W	B
YGR003W	B
YGR009C	B
YGR022C	B
YCL028W	B
YIL029W	B
YIL032C	B
YGR014W	B
YCL043C	B
YCL050C	B
YIL017C	B
YCL036W	B
YCL056C	B
YIL019W	B
YCL051W	B
YGR017W	B
YCL047C	B
YIL021C	B
YIL024C	B
YCL040W	B
YCL025C	B
YCL041C	B
YCL026C	B
YGR028W	B
YGR025W	B
YCL042W	B
YIL016W	B
YIL031W	B
YGR019W	B
YGR008C	B
YIL023C	B
YCL027W	B
YIL028W	B
YCL032W	B
YCL029C	B
YGL014W	B
YGR012W	B
YCL046W	B
YCL057W	B
YGR005C	B
YCL039W	B
YCL049C	B
YCL055W	B
YCL021W	B
YGR004W	B
YCL022C	B
YGL012W	B
YGR006W	B
YGR013W	B
