Gene	Label
YAL069W	External
YAL068W	External
YAL068C	External
YAL067W	External
YAL067C	External
YAL066W	External
YAL065C	External
YAL064W	External
YAL064C	External
YAL063C	External
YAL062W	External
YAL061W	External
YAL060W	External
YAL059C	External
YAL059W	External
YAL058W	External
YAL056C	External
YAL056W	External
YAL055W	External
YAL054C	External
YAL053W	External
YAL051W	External
YAL049C	External
YAL048C	External
YAL047W	External
YAL047C	External
YAL046C	External
YAL045C	External
YAL044W	External
YAL044C	External
YAL043C	External
YAL042C	External
YAL042W	External
YAL041W	External
YAL040C	External
YAL039C	External
YAL038W	External
YAL037C	External
YAL037W	External
YAL036C	External
YAL035W	External
YAL034C	External
YAL034W	External
YAL033W	External
YAL032C	External
YAL031W	External
YAL031C	External
YAL030W	External
YAL029C	External
YAL028W	External
YAL027W	External
YAL026C	External
HRA1	External
YAL025C	External
YAL024C	External
YAL023C	External
YAL022C	External
YAL021C	External
YAL020C	External
YAL019W	External
YAL018C	External
YAL017W	External
YAL016C	External
YAL016W	External
YAL015C	External
YAL014C	External
YAL013W	External
YAL012W	External
YAL011W	External
YAL010C	External
YAL009W	External
YAL008W	External
YAL007C	External
YAL005C	External
YAL004W	External
YAL003W	External
snR18	External
YAL002W	External
YAL001C	External
YAR002W	External
YAR002C	External
YAR003W	External
YAR007C	External
YAR008W	External
YAR009C	External
YAR010C	External
YAR014C	External
YAR015W	External
YAR018C	External
YAR019C	External
YAR019W	External
YAR020C	External
YAR023C	External
YAR027W	External
YAR028W	External
YAR029W	External
YAR030C	External
YAR031W	External
YAR033W	External
YAR035W	External
YAR035C	External
YAR042W	External
YAR047C	External
YAR050W	External
YAR053W	External
YAR060C	External
YAR061W	External
YAR062W	External
YAR064W	External
YAR066W	External
YAR068W	External
YAR069C	External
YAR070C	External
YAR071W	External
YAR073W	External
YAR075W	External
YBL113W	External
YBL112C	External
YBL111C	External
YBL109W	External
YBL108C	External
YBL108W	External
YBL107W	External
YBL107C	External
YBL106C	External
YBL105C	External
YBL104C	External
YBL103C	External
YBL102W	External
YBL101C	External
YBL100W	External
YBL100C	External
YBL099W	External
YBL098W	External
YBL097W	External
YBL096C	External
YBL095W	External
YBL094C	External
YBL093C	External
YBL092W	External
YBL091C	External
YBL090W	External
YBL089W	External
YBL088C	External
YBL046W	External
YBL045C	External
YBL044W	External
YBL043W	External
YBL042C	External
YBL041W	External
YBL040C	External
YBL039W	External
YBL010C	External
YBL009W	External
YBL008W	External
YBL007C	External
YBL006C	External
YBL006W	External
YBL005W	External
YBL004W	External
YBL003C	External
YBL002W	External
YBL001C	External
YBR001C	External
YBR002C	External
YBR003W	External
YBR004C	External
YBR005W	External
YBR006W	External
YBR007C	External
YBR008C	External
YBR009C	External
YBR010W	External
YBR011C	External
YBR012C	External
YBR012W	External
snR161	External
TLC1	External
YBR036C	External
YBR037C	External
YBR038W	External
YBR039W	External
YBR040W	External
YBR041W	External
YBR042C	External
YBR043C	External
YBR044C	External
YBR045C	External
YBR046C	External
YBR047W	External
YBR109C	External
YBR109W	External
YBR110W	External
YBR111C	External
YBR111W	External
YBR112C	External
YBR113W	External
YBR114W	External
YBR115C	External
YBR116C	External
YBR117C	External
YBR126C	External
YBR126W	External
YBR127C	External
YBR128C	External
YBR129C	External
YBR130C	External
YBR131W	External
YBR131C	External
YBR132C	External
YBR133C	External
YBR134W	External
YBR135W	External
YBR136W	External
YBR137W	External
YBR138C	External
YBR139W	External
YBR140C	External
YBR141C	External
YBR141W	External
YBR142W	External
YBR143C	External
YBR166C	External
YBR167C	External
YBR168W	External
YBR169C	External
YBR170C	External
YBR171W	External
YBR172C	External
YBR173C	External
YBR174C	External
YBR175W	External
YBR176W	External
YBR188C	External
YBR189W	External
YBR190W	External
YBR191W	External
YBR192W	External
YBR193C	External
YBR194W	External
YBR195C	External
YBR196C	External
YBR197C	External
YBR198C	External
YBR199W	External
YBR200W	External
YBR201W	External
YBR201C	External
YBR202W	External
YBR203W	External
YBR204C	External
YBR205W	External
YBR206W	External
YBR207W	External
YBR208C	External
YBR209W	External
YBR210W	External
YBR211C	External
YBR212W	External
YBR213W	External
YBR214W	External
YBR215W	External
YBR216C	External
YBR217W	External
YBR218C	External
YBR219C	External
YBR220C	External
YBR221C	External
YBR221W	External
YBR222C	External
YBR239C	External
YBR240C	External
YBR241C	External
YBR242W	External
YBR243C	External
YBR244W	External
YBR245C	External
YBR246W	External
YBR247C	External
YBR248C	External
YBR249C	External
YBR250W	External
YBR251W	External
YBR252W	External
YBR253W	External
YBR254C	External
YBR255W	External
YBR255C	External
YBR256C	External
YBR257W	External
YBR258C	External
YBR259W	External
YBR260C	External
YBR261C	External
YBR262C	External
YBR263W	External
YBR264C	External
YBR265W	External
YBR267W	External
YBR266C	External
YBR268W	External
YBR269C	External
YBR270C	External
YBR271W	External
YBR272C	External
YBR273C	External
YBR274W	External
YBR275C	External
YBR276C	External
YBR277C	External
YBR278W	External
YBR279W	External
YBR280C	External
YBR281C	External
YBR282W	External
YBR283C	External
YBR284W	External
YBR285W	External
YBR286W	External
YBR287W	External
YBR288C	External
YBR289W	External
YBR290W	External
YBR291C	External
YBR292C	External
YBR293W	External
YBR294W	External
YBR295W	External
YBR296C	External
YBR297W	External
YBR298C	External
YBR299W	External
YBR300C	External
YBR301W	External
YBR302C	External
YCL076W	External
YCL075W	External
YCL074W	External
YCL073C	External
YCL069W	External
YCL068C	External
YCL067C	External
YCL066W	External
YCL065W	External
YCL064C	External
YCL063W	External
YCL061C	External
YCL059C	External
YCL058C	External
YCL058W	External
YCL057C	External
YCL057W	External
YCL056C	External
YCL055W	External
YCL054W	External
YCL052C	External
YCL051W	External
YCL050C	External
YCL049C	External
YCL048W	External
YCL047C	External
YCL045C	External
YCL046W	External
YCL044C	External
YCL043C	External
YCL041C	External
YCL042W	External
YCL040W	External
YCL039W	External
YCL038C	External
YCL037C	External
YCL036W	External
YCL035C	External
YCL034W	External
YCL033C	External
