Distance	CoexpressionScore
130.787199	1.100000
81.197204	0.800000
59.213748	1.000000
52.340849	0.500000
111.294564	0.900000
60.832937	2.300000
31.606277	0.800000
116.474436	1.000000
17.923073	1.700000
30.093462	0.800000
126.211768	1.200000
66.458538	1.200000
99.883788	1.100000
46.867309	1.200000
97.528406	1.500000
80.528620	0.700000
81.181706	0.900000
47.416560	2.300000
160.959504	1.400000
90.110908	1.100000
101.437971	1.000000
97.666212	1.000000
136.071562	1.200000
58.054721	1.300000
104.893092	1.100000
76.478293	1.200000
95.112720	1.000000
38.889232	1.700000
92.020407	1.200000
71.235472	1.200000
99.561830	1.600000
77.567843	1.300000
88.191005	1.300000
87.826219	1.100000
69.800728	2.400000
92.590977	1.600000
37.444148	1.500000
54.182776	0.700000
91.823733	1.500000
111.179603	0.700000
56.354172	1.400000
62.127185	1.000000
96.583415	1.200000
55.009587	0.700000
72.336276	1.000000
80.272370	0.700000
44.078241	0.300000
139.018419	0.900000
70.122233	1.300000
84.861240	0.700000
61.477457	1.300000
48.053947	1.500000
68.230766	0.500000
42.994266	1.600000
54.372581	0.500000
136.692518	0.300000
81.959816	0.400000
93.398537	1.200000
120.584506	0.700000
81.969022	0.600000
124.766525	1.400000
26.875386	1.200000
75.746907	1.300000
81.251145	1.400000
95.482268	1.100000
47.308216	1.200000
124.281918	2.400000
62.862048	0.400000
84.803471	1.100000
112.626403	1.300000
48.540035	1.100000
23.154300	0.500000
106.697572	0.500000
84.116864	1.400000
70.267104	1.300000
97.607367	1.100000
85.140825	1.200000
73.706759	0.600000
91.219011	2.000000
92.899559	0.700000
146.636020	1.000000
37.937585	0.300000
92.091071	1.000000
59.831477	1.800000
102.183773	0.900000
35.752090	0.600000
60.491246	0.500000
158.500393	1.600000
82.965071	1.100000
122.740234	0.700000
112.718995	1.600000
72.643169	0.700000
77.450508	1.300000
81.128282	1.600000
32.158808	2.000000
71.215947	0.800000
55.550887	0.600000
47.577432	1.100000
119.305432	1.400000
124.178700	0.900000
151.824330	1.300000
58.066782	0.800000
40.033656	0.700000
74.392823	0.700000
75.401552	0.700000
130.015094	1.000000
75.139679	1.300000
85.875615	1.100000
21.501573	1.400000
39.335842	0.600000
58.791177	1.200000
23.408611	1.300000
45.586871	0.400000
85.012105	1.500000
30.770649	0.800000
85.374895	1.500000
79.053534	1.500000
63.975194	1.000000
74.548377	1.500000
43.637931	0.500000
116.525526	1.200000
26.465788	1.200000
106.622071	1.300000
95.722352	0.700000
103.257603	1.000000
79.736480	1.400000
104.106066	0.700000
100.114654	0.900000
148.900430	0.800000
100.393627	0.700000
92.529513	0.700000
111.221513	1.300000
70.716120	0.700000
107.120114	1.600000
69.922179	1.200000
47.707458	1.400000
58.271761	1.200000
66.982899	1.400000
69.100832	1.300000
73.794254	1.100000
103.564461	0.700000
140.962934	0.500000
78.169994	1.400000
109.727406	1.100000
81.572328	1.300000
105.465749	1.300000
62.505092	0.400000
87.739852	0.700000
66.270574	1.100000
77.626333	1.200000
69.556493	0.800000
67.689725	1.100000
40.865021	0.600000
38.063597	1.000000
71.704789	1.200000
50.908283	1.200000
77.280584	1.000000
23.047451	1.300000
50.781645	1.300000
86.935119	1.100000
94.447516	0.600000
152.571644	0.900000
88.839103	0.900000
114.716779	1.300000
66.638182	0.800000
56.637114	0.500000
79.801201	1.300000
163.099910	0.800000
31.328731	1.100000
123.031024	1.000000
48.587416	0.600000
85.968659	1.300000
102.707313	0.600000
98.195218	0.700000
82.530192	0.600000
72.601881	1.900000
136.291545	0.600000
128.848564	0.600000
142.679623	3.000000
63.954688	1.000000
37.650648	1.200000
57.121193	1.000000
25.706741	0.800000
37.905731	0.700000
91.943178	0.300000
80.646640	0.900000
45.272689	1.000000
67.398158	1.700000
110.642629	0.900000
101.515618	1.300000
104.696259	1.200000
132.037273	1.800000
141.079784	1.100000
63.770563	0.700000
57.321757	1.200000
130.208106	0.600000
69.023543	1.100000
109.301704	1.800000
48.063842	1.300000
47.152941	1.000000
92.780944	0.500000
99.927249	0.400000
106.065579	1.000000
60.287153	1.500000
99.806310	0.600000
78.004740	1.100000
43.164431	0.400000
72.497733	1.900000
62.591023	2.800000
71.776804	0.800000
107.909925	0.700000
97.001734	0.900000
98.330345	0.700000
45.319006	0.700000
89.704315	1.400000
92.829675	0.300000
70.512176	0.700000
63.111778	0.900000
37.556445	1.300000
62.072248	0.600000
92.790049	1.300000
99.272194	0.700000
114.203064	1.000000
78.219820	1.600000
89.162974	1.600000
99.924970	0.900000
99.955797	1.100000
35.573230	1.100000
78.250107	1.400000
53.419095	1.400000
67.922881	1.300000
122.114001	0.900000
57.510463	1.100000
82.239306	0.700000
96.614414	0.500000
75.062224	1.300000
92.475788	1.200000
38.926876	0.500000
80.926977	1.100000
100.023212	0.900000
52.210701	0.600000
81.397360	0.600000
104.593705	1.400000
98.330756	0.500000
35.806419	0.400000
80.997767	1.300000
78.315408	1.300000
58.582046	1.900000
89.334767	1.600000
76.009922	1.100000
107.130906	1.200000
95.878250	0.700000
100.951031	0.600000
91.510965	1.000000
89.806450	0.300000
74.917787	0.900000
68.828017	0.300000
68.330606	0.300000
96.436707	0.600000
27.760810	1.200000
44.906468	1.300000
84.201410	0.900000
22.979113	1.100000
94.221484	0.800000
83.235011	1.400000
40.529803	1.600000
122.983676	1.000000
136.403730	1.300000
74.620097	1.300000
91.383243	1.800000
77.779477	1.400000
13.911397	0.700000
59.247337	1.500000
58.240910	1.100000
89.693807	0.300000
93.407311	0.800000
53.478739	1.300000
155.174321	0.800000
35.069950	1.700000
82.744043	1.300000
108.508734	1.300000
71.612866	0.900000
72.653205	1.700000
78.852867	0.500000
73.908988	1.600000
36.595885	1.700000
29.515979	1.800000
46.064340	1.800000
34.656347	1.300000
91.231562	1.300000
77.216164	0.800000
77.456356	1.000000
111.984150	1.500000
74.398924	1.100000
103.716849	1.100000
26.016786	0.500000
35.168319	0.800000
65.469663	0.700000
76.853641	1.800000
56.796870	0.600000
86.506754	1.300000
95.396741	1.100000
68.139389	1.200000
70.771271	1.100000
36.185916	0.800000
72.978418	0.800000
97.628183	0.700000
111.657134	0.700000
60.558092	0.900000
64.225073	1.000000
119.483717	0.700000
103.590746	1.000000
94.046988	1.300000
101.060944	0.900000
93.565631	1.100000
68.697832	0.900000
54.536730	1.000000
56.336343	1.100000
105.333283	0.200000
122.608511	0.500000
56.081162	1.500000
40.874230	0.400000
76.017176	1.100000
38.820444	0.900000
95.425657	1.100000
73.005942	0.900000
80.272669	1.600000
95.445030	0.600000
71.640228	1.600000
61.243277	0.300000
102.733134	0.600000
103.384843	0.900000
108.885870	0.400000
75.463826	1.100000
51.345977	1.100000
77.958105	0.600000
73.660345	0.800000
135.360822	1.000000
85.612666	0.600000
52.355885	1.400000
87.069159	1.400000
98.077583	0.500000
80.949751	0.600000
86.140871	0.600000
63.434086	0.800000
175.413652	0.300000
64.656552	0.700000
106.044896	0.500000
25.897819	1.200000
110.847848	1.200000
116.573892	1.000000
125.047073	1.000000
110.454447	1.600000
39.604654	2.200000
36.956094	1.400000
69.069963	1.700000
58.025265	1.200000
82.605481	0.600000
98.363625	1.000000
126.902028	0.700000
90.694135	1.400000
57.970601	1.200000
48.053933	1.100000
59.485696	1.400000
70.065682	1.500000
72.298320	1.100000
66.192563	1.900000
41.690454	1.000000
95.342069	1.100000
109.746183	1.600000
95.976532	0.900000
58.728836	1.500000
72.800664	1.100000
57.770483	0.400000
37.549392	0.500000
49.228712	0.500000
111.835774	0.600000
15.044762	1.100000
143.461272	0.500000
45.060709	0.900000
75.104732	0.700000
92.846808	1.000000
116.035805	0.700000
31.548844	1.000000
79.982463	1.700000
82.390705	1.500000
64.324899	0.600000
111.292053	1.200000
55.504545	0.700000
47.198976	0.800000
100.975503	0.600000
135.636578	1.400000
104.795875	1.300000
87.437706	1.300000
77.947343	0.600000
69.371665	1.000000
28.705686	1.700000
136.920724	1.600000
99.120226	1.200000
149.659259	1.400000
89.680189	1.400000
72.919886	1.100000
104.199401	0.600000
94.549835	1.500000
90.175346	1.500000
89.318255	1.500000
69.403603	1.300000
91.654174	1.400000
50.227608	1.200000
63.843114	0.500000
52.138821	1.100000
118.140817	2.000000
66.293411	0.500000
45.046019	0.700000
90.707813	1.100000
74.560103	0.600000
90.670571	2.100000
55.004742	0.500000
114.455723	0.500000
73.003346	1.200000
70.907468	0.900000
46.108499	1.000000
88.841629	1.300000
90.022403	1.200000
112.723854	1.200000
73.392888	0.500000
21.513113	0.700000
