Gene	Chromosome	Start	End	x	y	z
YAL069W	1	334	649	78.280	61.423	15.653
YAL068W	1	537	792	78.602	61.357	15.726
YAL068C	1	1806	2169	76.893	61.705	15.341
YAL067W	1	2479	2707	80.786	60.912	16.218
YAL067C	1	7235	9017	84.823	61.092	17.784
YAL066W	1	9591	10194	85.836	61.625	18.497
YAL065C	1	11565	11952	86.762	62.435	19.360
YAL064W	1	12046	12427	86.976	62.686	19.600
YAL064C	1	13363	13744	87.511	63.443	20.289
YAL064W	1	21525	21852	89.001	68.807	24.378
YAL063C	1	22396	22687	88.977	69.431	24.785
YAL063C	1	24000	27969	88.860	71.610	25.931
YAL062W	1	31567	32941	89.604	72.818	24.598
YAL061W	1	33448	34702	90.031	72.509	23.408
YAL060W	1	35155	36304	90.311	72.111	22.272
YAL059C	1	36496	36919	90.406	71.837	21.603
YAL059W	1	36509	37148	90.415	71.801	21.520
YAL058W	1	37464	38973	90.452	71.356	20.574
YAL056C	1	38696	39047	90.435	71.128	20.130
YAL056W	1	39259	41902	90.278	70.469	18.975
YAL055W	1	42177	42720	89.926	69.647	17.719
YAL054C	1	42881	45023	89.521	68.915	16.717
YAL053W	1	45899	48251	89.233	67.493	14.866
YAL051W	1	48564	51708	89.973	66.329	13.417
YAL049C	1	51855	52596	91.057	65.663	12.637
YAL048C	1	52801	54790	92.181	65.233	12.162
YAL047W	1	54584	54914	92.936	65.023	11.936
YAL047C	1	54989	56858	93.831	64.860	11.749
YAL046C	1	57029	57386	94.762	64.806	11.664
YAL045C	1	57488	57797	95.067	64.815	11.663
YAL044W	1	57518	57851	95.096	64.817	11.664
YAL044C	1	57950	58463	95.454	64.850	11.683
YAL043C	1	58695	61053	96.543	65.095	11.877
YAL042C	1	61231	61609	97.480	65.515	12.244
YAL042W	1	61316	62564	97.779	65.698	12.407
YAL041W	1	62840	65405	98.947	66.691	13.310
YAL040C	1	65778	67521	100.126	68.151	14.362
YAL039C	1	68716	69526	101.098	69.771	15.019
YAL038W	1	71786	73289	102.149	72.319	15.323
YAL037C	1	72326	73301	102.220	72.540	15.319
YAL037C	1	73426	73519	102.377	73.080	15.284
YAL037W	1	74020	74824	102.585	73.878	15.194
YAL036C	1	75043	76153	102.850	74.861	15.093
YAL035W	1	76427	79436	103.502	76.698	15.114
YAL034C	1	79489	79843	104.098	77.964	15.326
YAL034W	1	79718	80588	104.281	78.304	15.414
YAL034C	1	80710	81952	104.756	79.100	15.682
YAL033W	1	82706	83228	105.487	80.140	16.179
YAL032C	1	83335	84475	105.944	80.703	16.531
YAL031W	1	84669	84978	106.412	81.231	16.921
YAL031C	1	84749	87032	106.923	81.827	17.414
YAL030W	1	87286	87753	107.576	82.711	18.237
YAL029C	1	87855	92271	108.285	84.028	19.690
YAL028W	1	92900	94487	108.643	85.775	22.118
YAL027W	1	94687	95473	108.582	86.398	23.146
YAL026C	1	95386	95824	108.549	86.617	23.506
YAL026C	1	95630	99698	108.485	87.309	24.503
HRA1	1	99305	99869	108.519	87.721	24.833
YAL025C	1	99725	100532	108.545	87.796	24.820
YAL024C	1	101565	105873	108.902	87.833	23.571
YAL023C	1	106272	108552	109.536	87.445	20.688
YAL022C	1	108877	110431	109.941	87.707	19.061
YAL021C	1	110846	113360	110.388	88.507	17.492
YAL020C	1	113614	114616	110.758	89.560	16.366
YAL019W	1	114250	114820	110.836	89.825	16.149
YAL019W	1	114919	118315	111.204	91.306	15.205
YAL018C	1	118564	119542	111.512	93.119	14.530
YAL017W	1	120225	124296	111.699	95.581	14.383
YAL016C	1	124307	124493	111.686	97.272	14.751
YAL016C	1	124755	125070	111.666	97.682	14.895
YAL016W	1	124879	126787	111.618	98.423	15.197
YAL015C	1	126903	128103	111.550	99.717	15.611
YAL014C	1	128252	129020	111.535	100.545	15.724
YAL013W	1	129270	130533	111.550	101.418	15.685
YAL012W	1	130801	131986	111.608	102.383	15.422
YAL011W	1	132201	134079	111.733	103.420	14.812
YAL010C	1	134185	135667	111.924	104.380	13.853
YAL009W	1	135855	136635	112.103	105.024	12.934
YAL008W	1	136915	137512	112.236	105.484	12.220
YAL007C	1	137699	138347	112.343	105.866	11.622
YAL005C	1	139504	141433	112.638	107.013	9.806
YAL004W	1	140761	141409	112.707	107.299	9.345
YAL003W	1	142175	143162	112.870	108.031	8.159
snR18	1	142368	142470	112.846	107.916	8.346
YAL002W	1	143708	147533	113.130	109.378	5.929
YAL001C	1	147595	151168	113.065	110.726	3.418
YAR002W	1	152258	153878	112.110	111.154	1.847
YAR002C	1	154066	154726	111.549	111.089	1.498
YAR003W	1	155006	156287	110.914	110.921	1.277
YAR007C	1	156755	158621	109.731	110.519	1.151
YAR008W	1	158966	159794	108.788	110.290	1.303
YAR009C	1	160597	164188	107.240	110.172	2.164
YAR010C	1	164544	165867	105.946	110.400	3.648
YAR014C	1	166742	168866	104.842	110.862	5.464
YAR015W	1	169369	170290	103.854	111.213	6.509
YAR018C	1	170390	171698	103.187	111.401	6.912
YAR019C	1	172208	175133	101.561	111.749	7.212
YAR019W	1	174995	175340	100.520	111.914	7.033
YAR020C	1	176853	177021	99.182	112.076	6.496
YAR023C	1	179278	179818	97.109	112.314	5.503
YAR027W	1	183763	184471	93.401	112.852	4.006
YAR028W	1	184885	185590	92.476	113.007	3.687
YAR029W	1	186314	186539	91.488	113.182	3.369
YAR030C	1	186505	186847	91.280	113.220	3.304
YAR031W	1	186829	187726	90.777	113.313	3.155
YAR033W	1	188100	188805	89.791	113.496	2.898
YAR035W	1	190186	192250	87.460	113.916	2.519
YAR035C	1	192330	192411	86.485	114.087	2.456
YAR042W	1	192612	196179	84.764	114.383	2.478
YAR047C	1	201459	201780	78.958	114.603	3.550
YAR050W	1	203393	208007	76.557	112.906	4.198
YAR053W	1	208357	208654	75.307	110.917	4.614
YAR060C	1	217147	217483	71.637	104.133	5.889
YAR061W	1	218130	218334	71.254	103.440	6.019
YAR062W	1	218539	219136	71.002	103.030	6.100
YAR064W	1	220188	220488	70.379	102.255	6.279
YAR066W	1	221039	221651	69.962	101.925	6.380
YAR068W	1	222396	222882	69.428	101.726	6.489
YAR069C	1	224001	224295	68.809	101.813	6.585
YAR070C	1	224553	224853	68.582	101.933	6.612
YAR071W	1	225450	226854	67.992	102.461	6.663
YAR073W	1	227732	228944	67.022	104.019	6.679
YAR075W	1	228834	229308	66.364	105.289	6.670
YBL113W	2	968	1628	107.003	130.604	103.496
YBL112C	2	2581	2899	107.295	129.606	102.968
YBL111C	2	2906	5009	107.574	128.824	102.502
YBL109W	2	5789	6125	108.056	128.056	101.829
YBL108C	2	7604	7733	108.491	127.903	101.343
YBL108W	2	8176	8482	108.666	127.972	101.178
YBL107W	2	9267	9372	108.933	128.202	100.954
YBL107C	2	9960	10354	109.164	128.515	100.785
YBL106C	2	10846	13879	109.797	129.886	100.440
YBL105C	2	14240	17696	111.043	132.114	100.221
YBL104C	2	18176	21293	112.778	132.487	100.511
YBL103C	2	22074	23535	114.523	131.292	101.140
YBL102W	2	24097	24745	115.504	130.386	101.579
YBL101C	2	24945	28299	116.800	129.358	102.228
YBL100W	2	28426	28546	117.859	128.672	102.823
YBL100W	2	29931	31248	119.013	128.103	103.546
YBL100W	2	29931	35245	120.071	127.762	104.283
YBL100C	2	36985	37300	121.217	127.137	105.939
YBL099W	2	37049	38687	121.151	127.011	106.184
YBL098W	2	39141	40524	120.617	126.632	106.820
YBL097W	2	40827	43092	119.469	126.160	107.465
YBL096C	2	43170	43479	118.438	125.822	107.850
YBL095W	2	43273	44086	118.176	125.729	107.939
YBL094C	2	43761	44094	118.002	125.663	107.997
