Gene	Chromosome	Start	End
YAL069W	1	334	649
YAL068W	1	537	792
YAL068C	1	1806	2169
YAL067W	1	2479	2707
YAL067C	1	7235	9017
YAL066W	1	9591	10194
YAL065C	1	11565	11952
YAL064W	1	12046	12427
YAL064C	1	13363	13744
YAL064W	1	21525	21852
YAL063C	1	22396	22687
YAL063C	1	24000	27969
YAL062W	1	31567	32941
YAL061W	1	33448	34702
YAL060W	1	35155	36304
YAL059C	1	36496	36919
YAL059W	1	36509	37148
YAL058W	1	37464	38973
YAL056C	1	38696	39047
YAL056W	1	39259	41902
YAL055W	1	42177	42720
YAL054C	1	42881	45023
YAL053W	1	45899	48251
YAL051W	1	48564	51708
YAL049C	1	51855	52596
YAL048C	1	52801	54790
YAL047W	1	54584	54914
YAL047C	1	54989	56858
YAL046C	1	57029	57386
YAL045C	1	57488	57797
YAL044W	1	57518	57851
YAL044C	1	57950	58463
YAL043C	1	58695	61053
YAL042C	1	61231	61609
YAL042W	1	61316	62564
YAL041W	1	62840	65405
YAL040C	1	65778	67521
YAL039C	1	68716	69526
YAL038W	1	71786	73289
YAL037C	1	72326	73301
YAL037C	1	73426	73519
YAL037W	1	74020	74824
YAL036C	1	75043	76153
YAL035W	1	76427	79436
YAL034C	1	79489	79843
YAL034W	1	79718	80588
YAL034C	1	80710	81952
YAL033W	1	82706	83228
YAL032C	1	83335	84475
YAL031W	1	84669	84978
YAL031C	1	84749	87032
YAL030W	1	87286	87753
YAL029C	1	87855	92271
YAL028W	1	92900	94487
YAL027W	1	94687	95473
YAL026C	1	95386	95824
YAL026C	1	95630	99698
HRA1	1	99305	99869
YAL025C	1	99725	100532
YAL024C	1	101565	105873
YAL023C	1	106272	108552
YAL022C	1	108877	110431
YAL021C	1	110846	113360
YAL020C	1	113614	114616
YAL019W	1	114250	114820
YAL019W	1	114919	118315
YAL018C	1	118564	119542
YAL017W	1	120225	124296
YAL016C	1	124307	124493
YAL016C	1	124755	125070
YAL016W	1	124879	126787
YAL015C	1	126903	128103
YAL014C	1	128252	129020
YAL013W	1	129270	130533
YAL012W	1	130801	131986
YAL011W	1	132201	134079
YAL010C	1	134185	135667
YAL009W	1	135855	136635
YAL008W	1	136915	137512
YAL007C	1	137699	138347
YAL005C	1	139504	141433
YAL004W	1	140761	141409
YAL003W	1	142175	143162
snR18	1	142368	142470
YAL002W	1	143708	147533
YAL001C	1	147595	151168
YAR002W	1	152258	153878
YAR002C	1	154066	154726
YAR003W	1	155006	156287
YAR007C	1	156755	158621
YAR008W	1	158966	159794
YAR009C	1	160597	164188
YAR010C	1	164544	165867
YAR014C	1	166742	168866
YAR015W	1	169369	170290
YAR018C	1	170390	171698
YAR019C	1	172208	175133
YAR019W	1	174995	175340
YAR020C	1	176853	177021
YAR023C	1	179278	179818
YAR027W	1	183763	184471
YAR028W	1	184885	185590
YAR029W	1	186314	186539
YAR030C	1	186505	186847
YAR031W	1	186829	187726
YAR033W	1	188100	188805
YAR035W	1	190186	192250
